"runtime","budget","original_language.en","original_language.other","popularity","collection_cat","year","month","weekday.Friday","weekday.Saturday","weekday.Thursday","weekday.Tuesday","weekday.Wednesday","oldness","dept.Directing","dept.Writing","dept.Production","dept.Sound","dept.Camera","dept.Editing","dept.Art","dept.Crew","dept.Lighting","genre.Thriller","genre.Scienc","genre.Romance","genre.Mystery","genre.Horror","genre.Fiction","genre.Fantasy","genre.Family","genre.Drama","genre.Crime","genre.Comedy","genre.Adventure","genre.Action","keywrds.woman.director","lang.en","lang.fr","lang.es","lang.de","lang.ru","prod_comp.Warner.Bros","prod_comp.Universal.Pictures","prod_comp.Paramount.Pictures","prod_comp.Columbia.Pictures","prod_count.US","prod_count.GB","prod_count.FR","prod_count.DE","crew_gender_0","crew_gender_1","gender_0","gender_1","overview.life","overview.new","overview.young","overview.love","overview.man","overview.world","overview.family","overview.find","overview.finds","overview.get","budget_cat","popularity_cat","popular_run","budg_popular","revenue","logRevenue"
4.54329478227,16.4545679590081,1,0,2.02490523123777,1,2015,2,1,0,0,0,0,1507,4,3,14,15,10,2,18,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,59,0,6,8,0,0,0,0,0,0,0,0,0,0,0,2,9.19974137167379,8.1260928685289,12314651,16.3263003309158
4.81218435537242,13.9978329480912,0,0,1.42909902884401,0,2012,3,1,0,0,0,0,2585,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,1,0,0,0,0,0,0,1,0,0,0,1,6.87708798888104,9.79486562202342,16000000,16.5880993427041
4.77912349311153,0,0,1,0.764569764570002,0,2009,2,0,0,1,0,0,3713,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3.65397332397925,0,3923970,15.1826147092221
4.43081679884331,15.8949522246441,1,0,0.555764954412712,0,1987,8,0,0,1,0,0,11567,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2.46249269622023,28.600134100648,3261638,14.9977403877373
4.53259949315326,16.4545679590081,1,0,2.11462490897874,0,2012,8,0,0,1,0,0,2411,4,4,9,12,16,9,9,11,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,60,6,4,3,0,0,1,0,0,0,0,1,0,0,0,2,9.58474779064631,7.78131757038406,85446075,18.2633960448799
4.61512051684126,0,1,0,2.06716942130819,1,1996,2,1,0,0,0,0,8451,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,1,0,0,1,0,0,0,0,1,0,0,1,2,9.54023600806629,0,34327391,17.3514541940075
4.52178857704904,15.607270193859,1,0,1.73554813617724,0,2003,4,0,0,0,0,1,5835,1,2,3,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,4,2,5,0,0,0,0,1,0,0,0,0,1,0,2,7.84778173708502,8.99270372773174,18750246,16.7467174836273
4.78749174278205,13.8155115579638,1,0,2.75836719906746,1,1976,11,0,0,0,0,0,15477,4,1,9,4,3,4,5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,2,13,4,1,0,0,0,0,1,0,0,0,0,0,2,13.2056601890963,5.00858318016342,117235147,18.5796922877578
4.77912349311153,17.7858024903843,1,0,2.66125435695394,1,2005,3,1,0,0,0,0,5147,1,2,8,1,1,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,3,3,18,0,0,0,0,1,0,0,0,0,0,0,2,12.718463218464,6.68324034638383,95226116,18.371764800373
4.98360662170834,18.4404833810525,1,0,3.07574711930093,0,2002,6,0,0,1,0,0,6135,4,4,32,25,23,6,31,36,9,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,109,9,0,8,0,0,0,0,0,0,0,0,0,1,0,2,15.3283137104484,5.99544847667572,358372926,19.6970846977074
4.58496747867057,13.1223653774023,0,1,0.702343266645989,0,2010,10,0,0,0,0,1,3105,1,4,3,8,5,2,2,5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,3.22022103643511,18.683692149663,198,5.29330482472449
4.71849887129509,0,1,0,1.64549169306925,0,2013,12,0,0,0,0,1,1929,1,2,6,8,1,1,9,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,24,3,6,6,0,0,0,1,0,0,0,0,0,0,1,2,7.76425069647273,0,1234254,14.025978107156
4.57471097850338,15.8949522246441,1,0,2.01440409610016,0,2011,2,0,0,0,0,1,2986,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,10,7,1,0,0,0,0,0,0,0,0,1,0,2,9.21531653357159,7.89064729138327,1749457,14.3748165836426
4.47733681447821,17.281246492014,1,0,2.5144378626522,1,2005,8,0,0,0,1,0,4996,2,4,6,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,8,0,2,2,0,0,1,0,0,0,1,0,0,1,0,2,11.2579852101706,6.87280713860471,85167639,18.260132107446
4.87519732320115,18.1975372051382,1,0,2.56499389493127,0,1998,4,1,0,0,0,0,7674,5,3,33,22,10,4,20,25,5,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,90,5,2,6,1,0,0,0,0,0,0,1,0,0,0,2,12.5048513705962,7.09457330136288,136159423,18.7293369924631
4.56434819146784,15.2018051690841,1,0,2.19636754352097,1,1982,8,1,0,0,0,0,13386,1,5,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,10,3,0,0,0,0,1,0,0,0,0,0,0,2,10.0249862250686,6.92133937870632,36690067,17.4180166496958
4.76217393479776,0,1,0,2.17711109506297,1,2012,7,0,1,0,0,0,2444,10,6,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,12,5,0,0,0,0,0,0,0,0,0,0,1,2,10.3677817100679,0,100345,11.5163794929417
4.47733681447821,0,1,0,2.13233956654841,0,2006,9,0,1,0,0,0,4593,1,1,2,1,1,1,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,5,0,0,0,0,0,0,0,0,0,0,1,2,9.54720244227571,0,4947717,15.414437018146
4.70953020131233,16.1180957509583,1,0,1.6687883110081,0,1997,9,0,0,0,0,0,7881,2,1,8,1,1,1,6,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2,7.85920895028964,9.65856223023371,13835130,16.442721639897
4.54329478227,16.2134059216717,1,0,2.47164332954096,0,2013,9,0,1,0,0,0,2038,1,3,7,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,6,11,1,0,0,1,0,0,0,1,0,0,0,2,11.2294042427359,6.5597676363292,7847000,15.8756419785468
4.44265125649032,15.607270193859,1,0,2.04887678738815,0,1986,8,1,0,0,0,0,11930,1,1,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,9.10244503388379,7.6174762142504,5849647,15.5818920464575
